checksum1,checksum2,dataset_type,join_chunk,join_count,join_schedule,join_threads,join_throughput,join_time,max_key,mpi_nodes,mpi_partition_strategy,mpi_processes,nr,ns,partition_block_size,partition_chunk,partition_schedule,partition_threads,partition_throughput,partition_time,time_sec,total_throughput,verified
6185417096973469475,16931092769743058723,uniform,8,2499986166,guided,32,487953096.814103,0.204938,1000000,1,block,1,50000000,50000000,32768,4,guided,32,276863899.091281,0.361188,0.569594,175563633.453580,false
6185417096973469475,16931092769743058723,uniform,4,2499986166,guided,32,492307836.769643,0.203125,1000000,1,block,1,50000000,50000000,32768,8,guided,32,273621583.730473,0.365468,0.572068,174804299.906924,false
6185417096973469475,16931092769743058723,uniform,8,2499986166,guided,32,487172779.829094,0.205266,1000000,1,block,1,50000000,50000000,32768,8,guided,32,274772816.233612,0.363937,0.572693,174613737.972937,false
12610816366499644757,12079717592018431889,skewed_90_5,4,40578723119,guided,32,237609147.685702,0.420859,1000000,1,block,1,50000000,50000000,32768,4,guided,32,280699738.446240,0.356253,0.780229,128167576.891976,false
12610816366499644757,12079717592018431889,skewed_90_5,8,40578723119,guided,32,247804735.425195,0.403544,1000000,1,block,1,50000000,50000000,32768,4,guided,32,281424021.687168,0.355336,0.761990,131235282.194782,false
12610816366499644757,12079717592018431889,skewed_90_5,4,40578723119,guided,32,231970414.370691,0.431089,1000000,1,block,1,50000000,50000000,32768,8,guided,32,284000882.656337,0.352112,0.786377,127165492.222967,false
12610816366499644757,12079717592018431889,skewed_90_5,8,40578723119,guided,32,234296317.624182,0.426810,1000000,1,block,1,50000000,50000000,32768,8,guided,32,281152321.310216,0.355679,0.785750,127266962.052957,false
12347604091913951299,2033051395823430535,skewed_90_1,4,173507209024,guided,32,75367769.509285,1.326827,1000000,1,block,1,50000000,50000000,32768,4,guided,32,299129098.811645,0.334304,1.664471,60079160.893969,false
12347604091913951299,2033051395823430535,skewed_90_1,8,173507209024,guided,32,74389134.431134,1.344282,1000000,1,block,1,50000000,50000000,32768,4,guided,32,299938074.990906,0.333402,1.681273,59478753.054916,false
12347604091913951299,2033051395823430535,skewed_90_1,4,173507209024,guided,32,76599056.629725,1.305499,1000000,1,block,1,50000000,50000000,32768,8,guided,32,299063520.054596,0.334377,1.643154,60858585.346758,false
12347604091913951299,2033051395823430535,skewed_90_1,8,173507209024,guided,32,74698186.072552,1.338721,1000000,1,block,1,50000000,50000000,32768,8,guided,32,298129072.904510,0.335425,1.677382,59616696.617657,false
