checksum1,checksum2,dataset_type,join_chunk,join_count,join_schedule,join_task_grain,join_task_partitions,join_threads,join_throughput,join_time,max_key,nr,ns,offset_task_grain,offset_task_partitions,partition_block_size,partition_chunk,partition_schedule,partition_task_blocks,partition_task_grain,partition_threads,partition_throughput,partition_time,time_sec,total_throughput
12610816366499644757,12079717592018431889,skewed_90_5,0,40578723119,auto,2,2,32,344579553.391204,0.290209,1000000,50000000,50000000,2,2,32768,0,auto,4,4,64,299253273.299729,0.334165,0.627487,159365917.613396
12610816366499644757,12079717592018431889,skewed_90_5,0,40578723119,auto,4,4,32,191859552.427772,0.521215,1000000,50000000,50000000,2,2,32768,0,auto,4,4,64,299233941.898941,0.334187,0.858556,116474585.424011
12347604091913951299,2033051395823430535,skewed_90_1,0,173507209024,auto,2,2,32,65194598.521022,1.533869,1000000,50000000,50000000,2,2,32768,0,auto,2,2,64,298439610.477462,0.335076,1.872096,53416053.869382
12347604091913951299,2033051395823430535,skewed_90_1,0,173507209024,auto,4,4,32,44296638.846194,2.257508,1000000,50000000,50000000,2,2,32768,0,auto,2,2,64,297516675.690738,0.336116,2.596817,38508689.186516
12347604091913951299,2033051395823430535,skewed_90_1,0,173507209024,auto,2,2,32,64376338.377029,1.553366,1000000,50000000,50000000,2,2,32768,0,auto,4,4,64,297330705.073264,0.336326,1.893382,52815549.182923
12347604091913951299,2033051395823430535,skewed_90_1,0,173507209024,auto,4,4,32,44864781.428695,2.228920,1000000,50000000,50000000,2,2,32768,0,auto,4,4,64,298780373.541448,0.334694,2.566689,38960704.765970
6185417096973469475,16931092769743058723,uniform,0,2499986166,auto,2,2,32,492146958.698850,0.203191,1000000,50000000,50000000,2,2,32768,0,auto,2,2,64,285651515.745657,0.350077,0.556562,179674412.993408
6185417096973469475,16931092769743058723,uniform,0,2499986166,auto,4,4,32,477870012.349813,0.209262,1000000,50000000,50000000,2,2,32768,0,auto,2,2,64,290938649.934456,0.343715,0.556534,179683418.749777
6185417096973469475,16931092769743058723,uniform,0,2499986166,auto,2,2,32,494762597.481991,0.202117,1000000,50000000,50000000,2,2,32768,0,auto,4,4,64,282594158.063808,0.353864,0.559559,178712258.779305
6185417096973469475,16931092769743058723,uniform,0,2499986166,auto,4,4,32,493822180.680902,0.202502,1000000,50000000,50000000,2,2,32768,0,auto,4,4,64,276185312.534580,0.362076,0.567737,176137743.989665
12610816366499644757,12079717592018431889,skewed_90_5,0,40578723119,auto,2,2,32,343964612.407761,0.290728,1000000,50000000,50000000,2,2,32768,0,auto,2,2,64,285171370.986804,0.350666,0.644556,155145618.337075
12610816366499644757,12079717592018431889,skewed_90_5,0,40578723119,auto,4,4,32,191634000.562047,0.521828,1000000,50000000,50000000,2,2,32768,0,auto,2,2,64,297849939.519705,0.335740,0.861327,116099916.854202
12610816366499644757,12079717592018431889,skewed_90_5,0,40578723119,auto,2,2,32,340964167.062162,0.293286,1000000,50000000,50000000,2,2,32768,0,auto,4,4,64,284566892.967114,0.351411,0.647829,154361698.053425
12610816366499644757,12079717592018431889,skewed_90_5,0,40578723119,auto,4,4,32,185490671.832411,0.539111,1000000,50000000,50000000,2,2,32768,0,auto,4,4,64,291293106.648537,0.343297,0.885669,112909055.667336
12347604091913951299,2033051395823430535,skewed_90_1,0,173507209024,auto,2,2,32,64264705.276448,1.556064,1000000,50000000,50000000,2,2,32768,0,auto,2,2,64,298663286.713598,0.334825,1.894058,52796695.832280
