checksum1,checksum2,dataset_type,join_chunk,join_count,join_schedule,join_threads,join_throughput,join_time,max_key,mpi_active_ranks,mpi_nodes,mpi_partition_strategy,mpi_processes,mpi_world_size,nr,ns,partition_block_size,partition_chunk,partition_schedule,partition_threads,partition_throughput,partition_time,time_sec,total_throughput,verified
6185417096973469475,16931092769743058723,uniform,4,2499986166,guided,16,3028896709.872391,0.033015,1000000,8,8,cyclic,8,8,50000000,50000000,32768,4,guided,4,1855208466.373743,0.053902,0.791476,126346205.864031,false
6185417096973469475,16931092769743058723,uniform,4,2499986166,guided,4,1601572818.383914,0.062439,1000000,8,8,block,8,8,50000000,50000000,32768,4,guided,16,1895565428.831979,0.052755,1.017991,98232672.311721,false
6185417096973469475,16931092769743058723,uniform,4,2499986166,guided,4,1513461977.147938,0.066074,1000000,8,8,cyclic,8,8,50000000,50000000,32768,4,guided,16,1876566189.261098,0.053289,0.814201,122819820.237129,false
6185417096973469475,16931092769743058723,uniform,4,2499986166,guided,16,3036145102.685400,0.032937,1000000,8,8,block,8,8,50000000,50000000,32768,4,guided,16,1937854878.749911,0.051603,0.990709,100937796.590171,false
6185417096973469475,16931092769743058723,uniform,4,2499986166,guided,16,2538436113.808290,0.039394,1000000,8,8,cyclic,8,8,50000000,50000000,32768,4,guided,16,1962604713.869703,0.050953,0.787031,127059753.871094,false
6185417096973469475,16931092769743058723,uniform,4,2499986166,guided,4,206081389.400847,0.485245,1000000,1,1,block,1,1,50000000,50000000,32768,4,guided,4,124498199.620000,0.803224,7.867021,12711291.887098,false
6185417096973469475,16931092769743058723,uniform,4,2499986166,guided,4,207240201.512160,0.482532,1000000,1,1,cyclic,1,1,50000000,50000000,32768,4,guided,4,138726748.954975,0.720842,6.147882,16265764.530911,false
6185417096973469475,16931092769743058723,uniform,4,2499986166,guided,16,363059044.687084,0.275437,1000000,1,1,block,1,1,50000000,50000000,32768,4,guided,4,138372742.508354,0.722686,7.607286,13145292.342140,false
6185417096973469475,16931092769743058723,uniform,4,2499986166,guided,16,343559058.979853,0.291071,1000000,1,1,cyclic,1,1,50000000,50000000,32768,4,guided,4,138049054.487337,0.724380,5.961853,16773307.955529,false
6185417096973469475,16931092769743058723,uniform,4,2499986166,guided,4,205405879.330910,0.486841,1000000,1,1,block,1,1,50000000,50000000,32768,4,guided,16,252717653.727478,0.395699,7.458897,13406807.129778,false
6185417096973469475,16931092769743058723,uniform,4,2499986166,guided,4,197310958.344683,0.506814,1000000,1,1,cyclic,1,1,50000000,50000000,32768,4,guided,16,248868155.005135,0.401819,5.852537,17086606.178917,false
6185417096973469475,16931092769743058723,uniform,4,2499986166,guided,16,370015393.446782,0.270259,1000000,1,1,block,1,1,50000000,50000000,32768,4,guided,16,253931577.524980,0.393807,7.243981,13804563.545887,false
6185417096973469475,16931092769743058723,uniform,4,2499986166,guided,16,353426555.049185,0.282944,1000000,1,1,cyclic,1,1,50000000,50000000,32768,4,guided,16,253356041.380564,0.394701,5.626493,17773058.884409,false
6185417096973469475,16931092769743058723,uniform,4,2499986166,guided,4,783795401.060156,0.127584,1000000,4,1,block,4,4,50000000,50000000,32768,4,guided,4,476227789.121190,0.209984,2.155636,46390019.367124,false
6185417096973469475,16931092769743058723,uniform,4,2499986166,guided,4,598530881.039483,0.167076,1000000,4,1,cyclic,4,4,50000000,50000000,32768,4,guided,4,446631641.771933,0.223898,1.749912,57145741.545042,false
6185417096973469475,16931092769743058723,uniform,4,2499986166,guided,16,639931724.203448,0.156267,1000000,4,1,block,4,4,50000000,50000000,32768,4,guided,4,482877995.815886,0.207092,2.221727,45010023.945943,false
6185417096973469475,16931092769743058723,uniform,4,2499986166,guided,16,730585654.439492,0.136876,1000000,4,1,cyclic,4,4,50000000,50000000,32768,4,guided,4,451928493.210149,0.221274,1.728754,57845123.008894,false
6185417096973469475,16931092769743058723,uniform,4,2499986166,guided,4,632249833.072996,0.158165,1000000,4,1,block,4,4,50000000,50000000,32768,4,guided,16,516697889.652605,0.193537,2.176308,45949384.181386,false
6185417096973469475,16931092769743058723,uniform,4,2499986166,guided,4,644609964.267294,0.155133,1000000,4,1,cyclic,4,4,50000000,50000000,32768,4,guided,16,492175220.277992,0.203180,1.701495,58771831.919016,false
6185417096973469475,16931092769743058723,uniform,4,2499986166,guided,16,606401201.184459,0.164907,1000000,4,1,block,4,4,50000000,50000000,32768,4,guided,16,476941911.262109,0.209669,2.197638,45503393.361463,false
6185417096973469475,16931092769743058723,uniform,4,2499986166,guided,16,622029182.801700,0.160764,1000000,4,1,cyclic,4,4,50000000,50000000,32768,4,guided,16,495159826.680797,0.201955,1.738065,57535241.467776,false
6185417096973469475,16931092769743058723,uniform,4,2499986166,guided,4,651033583.026546,0.153602,1000000,8,1,block,8,8,50000000,50000000,32768,4,guided,4,846493072.523869,0.118134,1.212740,82457919.400897,false
