checksum1,checksum2,dataset_type,join_count,join_throughput,join_time,max_key,mpi_active_ranks,mpi_nodes,mpi_partition_strategy,mpi_processes,mpi_world_size,nr,ns,partition_throughput,partition_time,time_sec,total_throughput,verified
12347604091913951299,2033051395823430535,skewed_90_1,173507209024,43298933.379724,2.309526,1000000,1,1,cyclic,1,1,50000000,50000000,126278869.692217,0.791898,7.923336,12620947.261673,false
6185417096973469475,16931092769743058723,uniform,2499986166,177741859.771363,0.562614,1000000,4,1,block,4,4,50000000,50000000,208708710.396795,0.479137,2.832680,35302252.291706,false
6185417096973469475,16931092769743058723,uniform,2499986166,177539799.459833,0.563254,1000000,4,1,cyclic,4,4,50000000,50000000,212224992.659282,0.471198,2.373774,42127002.762779,false
12610816366499644757,12079717592018431889,skewed_90_5,40578723119,61168380.228359,1.634832,1000000,4,1,block,4,4,50000000,50000000,150425914.168112,0.664779,4.381249,22824542.501535,false
12610816366499644757,12079717592018431889,skewed_90_5,40578723119,181924738.026044,0.549678,1000000,4,1,cyclic,4,4,50000000,50000000,407089358.870419,0.245646,2.149042,46532370.027399,false
12347604091913951299,2033051395823430535,skewed_90_1,173507209024,41460820.917546,2.411916,1000000,4,1,block,4,4,50000000,50000000,143265497.914447,0.698005,5.194621,19250680.798541,false
12347604091913951299,2033051395823430535,skewed_90_1,173507209024,122752757.895636,0.814646,1000000,4,1,cyclic,4,4,50000000,50000000,374357635.408707,0.267124,2.404348,41591323.750541,false
6185417096973469475,16931092769743058723,uniform,2499986166,350234009.962868,0.285523,1000000,8,1,block,8,8,50000000,50000000,990994240.920596,0.100909,1.309619,76358074.411105,false
6185417096973469475,16931092769743058723,uniform,2499986166,350696431.095202,0.285147,1000000,8,1,cyclic,8,8,50000000,50000000,985238445.576895,0.101498,1.070718,93395306.735416,false
12610816366499644757,12079717592018431889,skewed_90_5,40578723119,55080793.692790,1.815515,1000000,8,1,block,8,8,50000000,50000000,147733471.845439,0.676895,3.740253,26736156.219165,false
12610816366499644757,12079717592018431889,skewed_90_5,40578723119,343775222.728020,0.290888,1000000,8,1,cyclic,8,8,50000000,50000000,806886898.055912,0.123933,1.106179,90401303.344563,false
12347604091913951299,2033051395823430535,skewed_90_1,173507209024,41700211.847622,2.398069,1000000,8,1,block,8,8,50000000,50000000,147334870.485111,0.678726,4.336228,23061518.309814,false
12347604091913951299,2033051395823430535,skewed_90_1,173507209024,119299000.821957,0.838230,1000000,8,1,cyclic,8,8,50000000,50000000,382241971.123810,0.261614,1.852807,53972165.485546,false
6185417096973469475,16931092769743058723,uniform,2499986166,260621066.903854,0.383699,1000000,4,4,block,4,4,50000000,50000000,230359092.859988,0.434105,2.568800,38928680.416240,false
6185417096973469475,16931092769743058723,uniform,2499986166,207167486.619473,0.482701,1000000,4,4,cyclic,4,4,50000000,50000000,226442190.980514,0.441614,2.284616,43771028.893622,false
12610816366499644757,12079717592018431889,skewed_90_5,40578723119,61531426.173264,1.625186,1000000,4,4,block,4,4,50000000,50000000,153849757.895449,0.649985,4.561862,21920875.850469,false
12610816366499644757,12079717592018431889,skewed_90_5,40578723119,190948124.632394,0.523702,1000000,4,4,cyclic,4,4,50000000,50000000,446120144.063149,0.224155,2.107527,47448982.823140,false
12347604091913951299,2033051395823430535,skewed_90_1,173507209024,44661731.041465,2.239053,1000000,4,4,block,4,4,50000000,50000000,152846080.167623,0.654253,5.180747,19302236.763068,false
12347604091913951299,2033051395823430535,skewed_90_1,173507209024,127807077.711451,0.782429,1000000,4,4,cyclic,4,4,50000000,50000000,391281732.761976,0.255570,2.412288,41454415.765017,false
6185417096973469475,16931092769743058723,uniform,2499986166,408756478.216142,0.244644,1000000,8,4,block,8,8,50000000,50000000,1129076461.314197,0.088568,1.279184,78174808.990131,false
