checksum1,checksum2,dataset_type,join_count,join_throughput,join_time,max_key,mpi_active_ranks,mpi_nodes,mpi_partition_strategy,mpi_processes,mpi_world_size,nr,ns,partition_throughput,partition_time,time_sec,total_throughput,verified
12610816366499644757,12079717592018431889,skewed_90_5,40578723119,62800562.652408,1.592342,1000000,8,8,block,8,8,50000000,50000000,158558815.604429,0.630681,3.781979,26441184.125455,false
12347604091913951299,2033051395823430535,skewed_90_1,173507209024,44295369.620070,2.257572,1000000,8,8,block,8,8,50000000,50000000,157378443.950988,0.635411,4.459535,22423863.575502,false
6185417096973469475,16931092769743058723,uniform,2499986166,66102809.807283,1.512795,1000000,1,1,block,1,1,50000000,50000000,52261354.518051,1.913460,10.048494,9951740.382396,false
12610816366499644757,12079717592018431889,skewed_90_5,40578723119,57415259.313968,1.741697,1000000,1,1,block,1,1,50000000,50000000,88986810.661105,1.123762,9.495897,10530864.230383,false
12347604091913951299,2033051395823430535,skewed_90_1,173507209024,42261972.418124,2.366193,1000000,1,1,block,1,1,50000000,50000000,125830588.285677,0.794719,9.785056,10219665.223235,false
6185417096973469475,16931092769743058723,uniform,2499986166,131572816.378366,0.760035,1000000,2,2,block,2,2,50000000,50000000,108347364.932667,0.922957,5.431955,18409577.294411,false
12610816366499644757,12079717592018431889,skewed_90_5,40578723119,61348405.471411,1.630034,1000000,2,2,block,2,2,50000000,50000000,143272457.022152,0.697971,6.548498,15270677.595401,false
12347604091913951299,2033051395823430535,skewed_90_1,173507209024,44187660.473521,2.263075,1000000,2,2,block,2,2,50000000,50000000,144844089.323048,0.690398,7.350930,13603720.486946,false
6185417096973469475,16931092769743058723,uniform,2499986166,203287052.182051,0.491915,1000000,4,4,block,4,4,50000000,50000000,222036628.309612,0.450376,2.699428,37044891.614381,false
12610816366499644757,12079717592018431889,skewed_90_5,40578723119,61818900.593039,1.617628,1000000,4,4,block,4,4,50000000,50000000,152817977.272843,0.654373,4.565543,21903200.062089,false
12347604091913951299,2033051395823430535,skewed_90_1,173507209024,43650380.292733,2.290931,1000000,4,4,block,4,4,50000000,50000000,152986564.111121,0.653652,5.239550,19085609.860468,false
6185417096973469475,16931092769743058723,uniform,2499986166,404483014.597663,0.247229,1000000,8,8,block,8,8,50000000,50000000,1082138613.644256,0.092410,1.395629,71652259.622579,false
12610816366499644757,12079717592018431889,skewed_90_5,40578723119,62655728.110281,1.596023,1000000,8,8,block,8,8,50000000,50000000,159030978.531497,0.628808,3.782512,26437460.912886,false
12347604091913951299,2033051395823430535,skewed_90_1,173507209024,44892238.783358,2.227557,1000000,8,8,block,8,8,50000000,50000000,157112587.449203,0.636486,4.420112,22623859.747522,false
